Index,PartNumber,Qty,Description,Note,ElectricalComponent,Part_Family_Number,Part_Family_Name,SubSystem,Index_prefix
0002Y,1070121518,1,INK BOTTLE INTERFACE ASSY (PACKED),Yellow Ink,YELLOW: 02Y1 (INK_2_CART_UNLOCK_SO); 02PBA06 (INK_2_REFILL_LED); 02B11 (INK_2_CART_LOCKED_SE); 02B16 (INK_2_CART_OPENED_SE),1070127993,Ink_Refill,Ink_System,Z-0204
0002C,1070121518,1,INK BOTTLE INTERFACE ASSY (PACKED),Cyan Ink,CYAN: 02Y2 (INK_3_CART_UNLOCK_SO); 02PBA07 (INK_3_REFILL_LED); 02B9 (INK_3_CART_LOCKED_SE); 02B14 (INK_3_CART_OPENED_SE),1070127993,Ink_Refill,Ink_System,Z-0204
0002M,1070121518,1,INK BOTTLE INTERFACE ASSY (PACKED),Magenta Ink,MAGENTA: 02Y3 (INK_4_CART_UNLOCK_SO); 02PBA08 (INK_4_REFILL_LED); 02B10 (INK_4_CART_LOCKED_SE); 02B15 (INK_4_CART_OPENED_SE),1070127993,Ink_Refill,Ink_System,Z-0204
0002K,1070121518,1,INK BOTTLE INTERFACE ASSY (PACKED),Black Ink,BLACK: 02Y4 (INK_5_CART_UNLOCK_SO); 02PBA09 (INK_5_REFILL_LED); 02B12 (INK_5_CART__SE); 02B17 (INK_5_CART_OPENED_SE),1070127993,Ink_Refill,Ink_System,Z-0204
0002W,1070121518,1,INK BOTTLE INTERFACE ASSY (PACKED),White ink,WHITE: 02Y50 (INK_6_CART_UNLOCK_SO); 02PBA50 (INK_6_REFILL_LED); 02B52 (INK_6_CART_LOCKED_SE); 02B53 (INK_6_CART_OPENED_SE),1070127993,Ink_Refill,Ink_System,Z-0204
0100,1070116211,4,"PBAP,01087,RFID_READER","2=YELLOW, 3=CYAN, 4=MAGENTA, 5=BLACK, 6=WHITE","02PBA02,02PBA03,02PBA04,02PBA05.02PBA051 (INK_{2-6}_CART_RFID)",1070127993,Ink_Refill,Ink_System,Z-0204
0098,1070079851,4,GRIP,null,null,1070127993,Ink_Refill,Ink_System,Z-0204
0012,1070076537,4,"PBA,SIGNAL_LAMP","6=YELLOW, 7=CYAN, 8=MAGENTA, 9=BLACK, 50=WHITE","02PBA0{6789, 50} (INK_{6789, 50}_REFILL_LED)",1070127993,Ink_Refill,Ink_System,Z-0204
0100,1070131153,4,"PBAP,01087,RFID_READER - PACKED","2=YELLOW, 3=CYAN, 4=MAGENTA, 5=BLACK, 6=WHITE","02PBA02,02PBA03,02PBA04,02PBA05.02PBA051 (INK_{2-6}_CART_RFID)",1070127993,Ink_Refill,Ink_System,Z-0204
0001,1070081581,1,LUER-LOCK-RING-NATURAL FSLLR-6005,Not used ink tube,null,1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0007,1070070211,1,LUER-LOCK-RING-BLUE-FSLLR-5,"Pump 3, Cyan Ink",null,1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0162,1070106392,5,"PUMP,ASSY","INK_[2-6]_PUMP_MO, 2=Yellow, 3=Cyan, 4=Magenta, 5=Black, 6=White","02M1 (Y), 02M3 (C), 02M5 (M), 02M7 (B), 02M50 (W)",1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0002,1070070212,1,LUER-LOCK-RING-ORANGE-FSLLR-6,Not used ink tube,null,1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0098,1070070019,1,"HARNESS,02W01",null,02W01 (22PBA02 -> 02PBA01),1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0003,1070070210,1,LUER-LOCK-RING-GREEN-FSLLR-4,Recirculation white Ink,null,1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0005,1070070134,1,LUER-LOCK-RING-WHITE FSLLR-1,"Pump 6, White Ink",null,1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0008,1070070213,1,LUER-LOCK-RING-YELLOW-FSLLR-7,"Pump 2, Yellow Ink",null,1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0004,1070070208,1,LUER-LOCK-RING-BLACK FSLLR-2,"Pump 5, Black Ink",null,1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0006,1070070209,1,LUER-LOCK-RING-RED-FSLLR-3,"Pump 4, Magenta Ink",null,1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0164,1070112354,5,TUBE & GREASE SET,Color Male Luer or Female Coupler can be black or white,null,1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0165,1070107832,5,"CASSETTE,WPX1",null,null,1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0163,1070110805,1,"GREASE,TSK5450",null,null,1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0080,2977823,1,"RESISTOR,NTC ASSY 100k",null,02R1 (INK_ENV_TEMP_SE),1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0163,1070123677,1,GREASE TSK5451,null,null,1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0096,1070126479,1,"HARNESS,02W03",null,02W03 (22PBA01 -> INK outputs),1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0097,1070126478,1,"HARNESS,02W02",null,02W02 (02PBA01 -> ink level sensors),1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0097,1070128525,1,"HARNESS,02W02",null,02W02 (02PBA01 -> ink level sensors),1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0138,1070128254,1,INK-TUBE-WHITE-INK-ASSY (SERVICE),null,null,1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0162,4120071190,5,"PUMP,ASSY","INK_[2-6]_PUMP_MO, 2=Yellow, 3=Cyan, 4=Magenta, 5=Black, 6=White",null,1070127994,Ink_Cabinet_Part_2,Ink_System,Z-0203
0001,1070129581,1,UVGEL 425 PRINTHEAD (1 PCS),"PHD3 - 6 , PHD1 (white) optional; elect corresponding PH in ADAM when replaced","PH3- M3, PH4 -Y4, PH5 - K5, PH6 -C6, PH1 - W1",1070128164,Printhead M10,Printhead,Z-0402
0003,1070077219,4,"TUBE,AIR (PACKED)",null,null,1070128164,Printhead M10,Printhead,Z-0402
0552,1070113779,1,PLUG-AIRDUCT,null,null,1070128164,Printhead M10,Printhead,Z-0402
0010,1070114025,4,DUMMY-PRINTHEAD-ASSY,null,null,1070128164,Printhead M10,Printhead,Z-0402
0002,1070076686,1,BOILER-FILTER-UNIT (PACKED),"Boiler temp sensor, boiler heater;Also order small blister, see Z-2550 index 4",null,1070128164,Printhead M10,Printhead,Z-0402
